Report Number,Offense Parent Group,Offense,MCPP,Longitude,Latitude
2020-044225,ASSAULT OFFENSES,Aggravated Assault,MAGNOLIA,-122.3848648,47.64292734
2020-044323,ASSAULT OFFENSES,Simple Assault,HIGHLAND PARK,-122.3436616,47.53195159
2020-044361,ASSAULT OFFENSES,Simple Assault,GREENWOOD,-122.345966,47.69871766
2020-044538,ASSAULT OFFENSES,Aggravated Assault,PIONEER SQUARE,-122.333265,47.58716583
2020-044564,ASSAULT OFFENSES,Intimidation,DOWNTOWN COMMERCIAL,-122.328861,47.60334108
2020-044597,ASSAULT OFFENSES,Aggravated Assault,QUEEN ANNE,-122.3761541,47.63965592
2020-044620,ASSAULT OFFENSES,Simple Assault,MAGNOLIA,-122.3859737,47.64938723
2020-044739,ASSAULT OFFENSES,Intimidation,DOWNTOWN COMMERCIAL,-122.3345742,47.60539161
2020-044748,ASSAULT OFFENSES,Intimidation,MOUNT BAKER,-122.2936076,47.57629106
2020-044858,ASSAULT OFFENSES,Simple Assault,SLU/CASCADE,-122.3383816,47.61793927
2020-044858,ASSAULT OFFENSES,Intimidation,SLU/CASCADE,-122.3383816,47.61793927
2020-044906,ASSAULT OFFENSES,Intimidation,SLU/CASCADE,-122.3342678,47.62083925
2020-044938,ASSAULT OFFENSES,Simple Assault,NORTH ADMIRAL,-122.3865836,47.58025275
2020-044951,ASSAULT OFFENSES,Simple Assault,MID BEACON HILL,-122.3171835,47.5541858
2020-044963,ASSAULT OFFENSES,Simple Assault,NORTH DELRIDGE,-122.3629314,47.55635573
2020-044964,ASSAULT OFFENSES,Intimidation,DOWNTOWN COMMERCIAL,-122.3310822,47.60241242
2020-045023,ASSAULT OFFENSES,Intimidation,UNIVERSITY,-122.3119268,47.66566054
2020-045210,ASSAULT OFFENSES,Intimidation,SANDPOINT,-122.2833169,47.68929838
2020-045298,ASSAULT OFFENSES,Simple Assault,BRIGHTON/DUNLAP,-122.2780367,47.5370561
2020-045305,ASSAULT OFFENSES,Aggravated Assault,ROXHILL/WESTWOOD/ARBOR HEIGHTS,-122.3833001,47.51469279
2020-045325,ASSAULT OFFENSES,Simple Assault,SLU/CASCADE,-122.3371469,47.62262048
2020-045360,ASSAULT OFFENSES,Simple Assault,BELLTOWN,0,0
2020-045398,ASSAULT OFFENSES,Intimidation,UNKNOWN,0,0
2020-045500,ASSAULT OFFENSES,Intimidation,CAPITOL HILL,-122.3208265,47.6169873
2020-045505,ASSAULT OFFENSES,Simple Assault,DOWNTOWN COMMERCIAL,-122.3310822,47.60241242
2020-045509,ASSAULT OFFENSES,Simple Assault,CENTRAL AREA/SQUIRE PARK,-122.3014102,47.61354587
2020-045528,ASSAULT OFFENSES,Simple Assault,CAPITOL HILL,-122.3267464,47.61811628
2020-045570,ASSAULT OFFENSES,Aggravated Assault,MORGAN,-122.3878311,47.55031095
2020-045599,ASSAULT OFFENSES,Simple Assault,UNIVERSITY,-122.3119516,47.66398823
2020-045700,ASSAULT OFFENSES,Simple Assault,UNIVERSITY,-122.3118988,47.66748414
2020-045710,ASSAULT OFFENSES,Simple Assault,BALLARD SOUTH,-122.3696925,47.66146817
2020-045766,ASSAULT OFFENSES,Intimidation,DOWNTOWN COMMERCIAL,-122.3310822,47.60241242
2020-045871,ASSAULT OFFENSES,Simple Assault,BELLTOWN,-122.3469547,47.61037824
2020-045952,ASSAULT OFFENSES,Simple Assault,JUDKINS PARK/NORTH BEACON HILL,-122.3099762,47.59194236
2020-046164,ASSAULT OFFENSES,Intimidation,PIONEER SQUARE,-122.3359102,47.60031869
2020-046245,ASSAULT OFFENSES,Simple Assault,ROOSEVELT/RAVENNA,-122.2953265,47.68304813
2020-046259,ASSAULT OFFENSES,Intimidation,NORTHGATE,-122.323539,47.71767245
2020-046387,ASSAULT OFFENSES,Simple Assault,BITTERLAKE,-122.3594707,47.7078297
2020-046409,ASSAULT OFFENSES,Intimidation,UNIVERSITY,-122.306512,47.66396512
2020-046410,ASSAULT OFFENSES,Simple Assault,UNIVERSITY,-122.3131157,47.66218058
2020-046477,ASSAULT OFFENSES,Simple Assault,DOWNTOWN COMMERCIAL,-122.3395594,47.60832457
2020-046537,ASSAULT OFFENSES,Simple Assault,RAINIER BEACH,-122.2628104,47.51790376
2020-046598,ASSAULT OFFENSES,Intimidation,NORTHGATE,-122.3277727,47.69681506
2020-046598,ASSAULT OFFENSES,Simple Assault,NORTHGATE,-122.3277727,47.69681506
2020-046608,ASSAULT OFFENSES,Simple Assault,JUDKINS PARK/NORTH BEACON HILL,-122.3038094,47.59927115
2020-046674,ASSAULT OFFENSES,Simple Assault,BALLARD SOUTH,-122.3805052,47.66944627
2020-046701,ASSAULT OFFENSES,Intimidation,MORGAN,-122.3764226,47.54559328
2020-046822,ASSAULT OFFENSES,Simple Assault,NORTH ADMIRAL,-122.3867366,47.57631007
2020-046869,ASSAULT OFFENSES,Aggravated Assault,HIGHLAND PARK,-122.3332731,47.5186727
2020-046923,ASSAULT OFFENSES,Simple Assault,CAPITOL HILL,-122.3195485,47.6205013
2020-046947,ASSAULT OFFENSES,Aggravated Assault,FIRST HILL,0,0
2020-047003,ASSAULT OFFENSES,Simple Assault,ROOSEVELT/RAVENNA,-122.3254785,47.67321785
2020-047117,ASSAULT OFFENSES,Simple Assault,QUEEN ANNE,-122.3566157,47.63000558
2020-047154,ASSAULT OFFENSES,Simple Assault,SLU/CASCADE,-122.3374312,47.61330061
2020-047206,ASSAULT OFFENSES,Aggravated Assault,MADRONA/LESCHI,-122.291297,47.60194923
2020-047211,ASSAULT OFFENSES,Intimidation,NORTHGATE,-122.3175921,47.69537811
2020-047260,ASSAULT OFFENSES,Simple Assault,MADRONA/LESCHI,-122.2882629,47.61100794
2020-047273,ASSAULT OFFENSES,Aggravated Assault,SOUTH BEACON HILL,-122.2871751,47.52056312
2020-047296,ASSAULT OFFENSES,Simple Assault,BITTERLAKE,-122.3555197,47.71506588
2020-047320,ASSAULT OFFENSES,Simple Assault,DOWNTOWN COMMERCIAL,-122.3301677,47.60476953
2020-047355,ASSAULT OFFENSES,Aggravated Assault,GREENWOOD,-122.345966,47.69871766
2020-047491,ASSAULT OFFENSES,Aggravated Assault,NORTHGATE,-122.342003,47.70504761
2020-047507,ASSAULT OFFENSES,Simple Assault,BRIGHTON/DUNLAP,-122.2824299,47.53978423
2020-047581,ASSAULT OFFENSES,Intimidation,NORTH BEACON HILL,-122.3147187,47.58024753
2020-047703,ASSAULT OFFENSES,Intimidation,QUEEN ANNE,-122.3528255,47.62034258
2020-047747,ASSAULT OFFENSES,Simple Assault,DOWNTOWN COMMERCIAL,-122.3305103,47.60188591
2020-047755,ASSAULT OFFENSES,Simple Assault,SLU/CASCADE,0,0
2020-047755,ASSAULT OFFENSES,Intimidation,SLU/CASCADE,0,0
2020-047776,ASSAULT OFFENSES,Simple Assault,GREENWOOD,-122.3593147,47.69061787
2020-047877,ASSAULT OFFENSES,Simple Assault,DOWNTOWN COMMERCIAL,-122.3333538,47.61160635
2020-047978,ASSAULT OFFENSES,Intimidation,NORTH BEACON HILL,-122.3112077,47.57820583
2020-048118,ASSAULT OFFENSES,Aggravated Assault,CHINATOWN/INTERNATIONAL DISTRICT,0,0
2020-048166,ASSAULT OFFENSES,Aggravated Assault,NORTH ADMIRAL,-122.3865836,47.58025275
2020-048248,ASSAULT OFFENSES,Aggravated Assault,MOUNT BAKER,-122.2899378,47.57067497
2020-048269,ASSAULT OFFENSES,Aggravated Assault,MADRONA/LESCHI,-122.3022238,47.59602368
2020-048365,ASSAULT OFFENSES,Aggravated Assault,SOUTH PARK,-122.3228536,47.53017067
2020-048538,ASSAULT OFFENSES,Simple Assault,CAPITOL HILL,-122.3239441,47.61522807
2020-048553,ASSAULT OFFENSES,Aggravated Assault,BITTERLAKE,0,0
2020-048567,ASSAULT OFFENSES,Simple Assault,UNIVERSITY,-122.3091183,47.65130138
2020-048572,ASSAULT OFFENSES,Aggravated Assault,CENTRAL AREA/SQUIRE PARK,-122.3102488,47.60622905
2020-048607,ASSAULT OFFENSES,Simple Assault,FREMONT,-122.3424569,47.65502267
2020-048684,ASSAULT OFFENSES,Aggravated Assault,CAPITOL HILL,-122.320313,47.61135552
2020-048742,ASSAULT OFFENSES,Simple Assault,CAPITOL HILL,-122.3244653,47.61465973
2020-048766,ASSAULT OFFENSES,Aggravated Assault,UNIVERSITY,-122.3192843,47.65945928
2020-048891,ASSAULT OFFENSES,Simple Assault,MID BEACON HILL,0,0
2020-048901,ASSAULT OFFENSES,Aggravated Assault,BRIGHTON/DUNLAP,-122.275084,47.54603264
2020-049122,ASSAULT OFFENSES,Simple Assault,BALLARD NORTH,-122.3832297,47.68063734
2020-049146,ASSAULT OFFENSES,Simple Assault,JUDKINS PARK/NORTH BEACON HILL,-122.3141619,47.60168876
2020-049187,ASSAULT OFFENSES,Aggravated Assault,CHINATOWN/INTERNATIONAL DISTRICT,-122.3172228,47.59918907
2020-049322,ASSAULT OFFENSES,Simple Assault,BRIGHTON/DUNLAP,-122.2699807,47.53545842
2020-049372,ASSAULT OFFENSES,Simple Assault,NORTHGATE,-122.3154167,47.73169352
2020-049378,ASSAULT OFFENSES,Simple Assault,MAGNOLIA,-122.3898716,47.65120855
2020-049434,ASSAULT OFFENSES,Aggravated Assault,DOWNTOWN COMMERCIAL,-122.3305103,47.60188591
2020-049442,ASSAULT OFFENSES,Intimidation,NORTHGATE,-122.3219184,47.70858578
2020-049558,ASSAULT OFFENSES,Simple Assault,SANDPOINT,-122.288727,47.68127842
2020-049627,ASSAULT OFFENSES,Simple Assault,DOWNTOWN COMMERCIAL,-122.3310822,47.60241242
2020-049724,ASSAULT OFFENSES,Simple Assault,PIONEER SQUARE,-122.3352146,47.60172278
2020-049782,ASSAULT OFFENSES,Simple Assault,LAKECITY,-122.2970758,47.70668898
2020-049866,ASSAULT OFFENSES,Simple Assault,BALLARD NORTH,-122.3767833,47.6841481
2020-049880,ASSAULT OFFENSES,Intimidation,CAPITOL HILL,-122.3207895,47.61465549
2020-049917,ASSAULT OFFENSES,Simple Assault,PIONEER SQUARE,-122.331777,47.60149293
2020-049938,ASSAULT OFFENSES,Intimidation,NORTHGATE,-122.3399801,47.70504485
2020-050019,ASSAULT OFFENSES,Simple Assault,MAGNOLIA,-122.3781857,47.64846567
2020-050023,ASSAULT OFFENSES,Simple Assault,BALLARD SOUTH,-122.3808735,47.66794819
2020-050141,ASSAULT OFFENSES,Aggravated Assault,CAPITOL HILL,0,0
2020-050206,ASSAULT OFFENSES,Intimidation,DOWNTOWN COMMERCIAL,-122.3382473,47.6102463
2020-050217,ASSAULT OFFENSES,Aggravated Assault,WALLINGFORD,-122.3412247,47.66429057
2020-050451,ASSAULT OFFENSES,Aggravated Assault,DOWNTOWN COMMERCIAL,-122.3400134,47.60882096
2020-050509,ASSAULT OFFENSES,Simple Assault,GREENWOOD,-122.3486392,47.69687421
2020-050512,ASSAULT OFFENSES,Aggravated Assault,NORTH BEACON HILL,-122.3141469,47.57074508
2020-050579,ASSAULT OFFENSES,Intimidation,UNIVERSITY,-122.3131878,47.65905498
2020-050587,ASSAULT OFFENSES,Aggravated Assault,MORGAN,-122.3766217,47.53336309
2020-050607,ASSAULT OFFENSES,Simple Assault,FIRST HILL,0,0
2020-050607,ASSAULT OFFENSES,Intimidation,FIRST HILL,0,0
2020-050638,ASSAULT OFFENSES,Intimidation,SLU/CASCADE,-122.337879,47.61588661
2020-050707,ASSAULT OFFENSES,Simple Assault,DOWNTOWN COMMERCIAL,-122.3366834,47.61021404
2020-050771,ASSAULT OFFENSES,Intimidation,DOWNTOWN COMMERCIAL,-122.3425735,47.60779606
2020-050807,ASSAULT OFFENSES,Simple Assault,MID BEACON HILL,-122.2920845,47.55786607
2020-050856,ASSAULT OFFENSES,Aggravated Assault,SLU/CASCADE,-122.347105,47.61724328
2020-050887,ASSAULT OFFENSES,Aggravated Assault,CHINATOWN/INTERNATIONAL DISTRICT,-122.3276729,47.5979363
2020-050921,ASSAULT OFFENSES,Aggravated Assault,CAPITOL HILL,-122.3227727,47.61522861
2020-050923,ASSAULT OFFENSES,Simple Assault,ROOSEVELT/RAVENNA,-122.3173632,47.67540434
2020-050963,ASSAULT OFFENSES,Simple Assault,NORTHGATE,-122.3311188,47.69592748
2020-050983,ASSAULT OFFENSES,Aggravated Assault,DOWNTOWN COMMERCIAL,-122.3341768,47.60214897
2020-050986,ASSAULT OFFENSES,Intimidation,ALASKA JUNCTION,0,0
2020-051023,ASSAULT OFFENSES,Aggravated Assault,SODO,-122.3240351,47.56806384
2020-051132,ASSAULT OFFENSES,Simple Assault,LAKECITY,-122.2951874,47.73196572
2020-051176,ASSAULT OFFENSES,Simple Assault,CHINATOWN/INTERNATIONAL DISTRICT,-122.3289663,47.59961646
2020-051181,ASSAULT OFFENSES,Simple Assault,NORTHGATE,-122.3154167,47.73169352
2020-051249,ASSAULT OFFENSES,Intimidation,NEW HOLLY,-122.2826025,47.53978646
2020-051270,ASSAULT OFFENSES,Simple Assault,BELLTOWN,-122.343703,47.61288656
2020-051302,ASSAULT OFFENSES,Simple Assault,BITTERLAKE,-122.3479331,47.72503884
2020-051391,ASSAULT OFFENSES,Intimidation,SOUTH PARK,-122.318919,47.52730344
2020-051407,ASSAULT OFFENSES,Simple Assault,FIRST HILL,-122.3270688,47.60557243
2020-051469,ASSAULT OFFENSES,Simple Assault,GREENWOOD,-122.353304,47.69421104
2020-051612,ASSAULT OFFENSES,Simple Assault,NORTH BEACON HILL,0,0
2020-051890,ASSAULT OFFENSES,Intimidation,DOWNTOWN COMMERCIAL,-122.3387015,47.61074295
2020-051895,ASSAULT OFFENSES,Simple Assault,GENESEE,-122.2872084,47.56475122
2020-051926,ASSAULT OFFENSES,Aggravated Assault,SLU/CASCADE,-122.3304204,47.62024434
2020-051997,ASSAULT OFFENSES,Aggravated Assault,QUEEN ANNE,-122.3761541,47.63965592
2020-052007,ASSAULT OFFENSES,Simple Assault,SLU/CASCADE,-122.3329965,47.62254475
2020-052027,ASSAULT OFFENSES,Simple Assault,FIRST HILL,-122.3256944,47.60910568
2020-052048,ASSAULT OFFENSES,Simple Assault,ROOSEVELT/RAVENNA,-122.2944559,47.6703266
2020-052197,ASSAULT OFFENSES,Intimidation,FIRST HILL,-122.3234439,47.60412808
2020-052211,ASSAULT OFFENSES,Intimidation,PIONEER SQUARE,-122.3328824,47.59920289
2020-052247,ASSAULT OFFENSES,Aggravated Assault,CAPITOL HILL,-122.3207558,47.60865749
2020-052267,ASSAULT OFFENSES,Aggravated Assault,BITTERLAKE,0,0
2020-052338,ASSAULT OFFENSES,Intimidation,CHINATOWN/INTERNATIONAL DISTRICT,-122.3243995,47.60002891
2020-052421,ASSAULT OFFENSES,Simple Assault,DOWNTOWN COMMERCIAL,-122.3310822,47.60241242
2020-052464,ASSAULT OFFENSES,Simple Assault,LAKECITY,-122.2920822,47.70928331
2020-052470,ASSAULT OFFENSES,Simple Assault,CENTRAL AREA/SQUIRE PARK,-122.3021135,47.60901773
2020-052581,ASSAULT OFFENSES,Simple Assault,UNIVERSITY,-122.3131878,47.65905498
2020-052702,ASSAULT OFFENSES,Simple Assault,FREMONT,-122.3505956,47.65095794
2020-052717,ASSAULT OFFENSES,Intimidation,CHINATOWN/INTERNATIONAL DISTRICT,-122.317228,47.5983376
2020-052741,ASSAULT OFFENSES,Intimidation,CAPITOL HILL,-122.3208545,47.61873954
2020-052768,ASSAULT OFFENSES,Intimidation,NORTHGATE,-122.3193046,47.71311417
2020-053022,ASSAULT OFFENSES,Simple Assault,QUEEN ANNE,-122.3569266,47.63838254
2020-053126,ASSAULT OFFENSES,Intimidation,CENTRAL AREA/SQUIRE PARK,-122.2965191,47.60799711
2020-053135,ASSAULT OFFENSES,Simple Assault,CAPITOL HILL,-122.3201136,47.61408041
2020-053153,ASSAULT OFFENSES,Simple Assault,BITTERLAKE,-122.3555488,47.72414184
2020-053247,ASSAULT OFFENSES,Simple Assault,CENTRAL AREA/SQUIRE PARK,-122.3101449,47.6170272
2020-053270,ASSAULT OFFENSES,Simple Assault,NEW HOLLY,-122.2823449,47.53704403
2020-053294,ASSAULT OFFENSES,Simple Assault,DOWNTOWN COMMERCIAL,-122.3325828,47.60573106
2020-053306,ASSAULT OFFENSES,Aggravated Assault,PIONEER SQUARE,-122.3054776,47.59925977
2020-053378,ASSAULT OFFENSES,Intimidation,UNIVERSITY,-122.3208416,47.65849092
2020-053402,ASSAULT OFFENSES,Intimidation,DOWNTOWN COMMERCIAL,-122.3383483,47.60951744
2020-053488,ASSAULT OFFENSES,Intimidation,DOWNTOWN COMMERCIAL,-122.3384495,47.60878866
2020-053555,ASSAULT OFFENSES,Simple Assault,FIRST HILL,-122.3174422,47.60351535
2020-053594,ASSAULT OFFENSES,Simple Assault,BALLARD SOUTH,-122.3749002,47.66944177
2020-053602,ASSAULT OFFENSES,Aggravated Assault,UNIVERSITY,-122.3119516,47.66398823
2020-053614,ASSAULT OFFENSES,Intimidation,CHINATOWN/INTERNATIONAL DISTRICT,-122.3289663,47.59961646
2020-053767,ASSAULT OFFENSES,Aggravated Assault,FREMONT,-122.3459637,47.652745
2020-053769,ASSAULT OFFENSES,Simple Assault,DOWNTOWN COMMERCIAL,-122.3310822,47.60241242
2020-054083,ASSAULT OFFENSES,Simple Assault,CAPITOL HILL,-122.3127123,47.62050323
2020-054145,ASSAULT OFFENSES,Intimidation,FIRST HILL,-122.3167818,47.60268591
2020-054225,ASSAULT OFFENSES,Simple Assault,SLU/CASCADE,-122.338303,47.61262607
2020-054242,ASSAULT OFFENSES,Simple Assault,SODO,-122.3309845,47.57981152
2020-054290,ASSAULT OFFENSES,Intimidation,MORGAN,-122.3816201,47.55292836
2020-054292,ASSAULT OFFENSES,Simple Assault,FIRST HILL,-122.3273595,47.61343735
2020-054322,ASSAULT OFFENSES,Simple Assault,MILLER PARK,-122.3114204,47.6190967
2020-054369,ASSAULT OFFENSES,Simple Assault,GREENWOOD,-122.353304,47.69421104
2020-054480,ASSAULT OFFENSES,Simple Assault,FREMONT,-122.3500395,47.66139443
2020-054532,ASSAULT OFFENSES,Simple Assault,BALLARD SOUTH,-122.3650637,47.67598958
2020-054614,ASSAULT OFFENSES,Aggravated Assault,NORTHGATE,-122.3192068,47.7085692
2020-054622,ASSAULT OFFENSES,Simple Assault,CAPITOL HILL,-122.3194561,47.61466515
2020-054630,ASSAULT OFFENSES,Intimidation,BALLARD SOUTH,0,0
2020-054713,ASSAULT OFFENSES,Aggravated Assault,FIRST HILL,-122.3214418,47.60269663
2020-054782,ASSAULT OFFENSES,Aggravated Assault,MADRONA/LESCHI,-122.3011684,47.59507783
2020-054786,ASSAULT OFFENSES,Simple Assault,ROOSEVELT/RAVENNA,-122.3100516,47.688998
2020-054802,ASSAULT OFFENSES,Simple Assault,DOWNTOWN COMMERCIAL,-122.3384495,47.60878866
2020-054873,ASSAULT OFFENSES,Simple Assault,HIGH POINT,0,0
2020-054889,ASSAULT OFFENSES,Simple Assault,DOWNTOWN COMMERCIAL,-122.3373388,47.60925299
2020-054917,ASSAULT OFFENSES,Intimidation,CHINATOWN/INTERNATIONAL DISTRICT,0,0
2020-054924,ASSAULT OFFENSES,Aggravated Assault,MAGNOLIA,-122.402271,47.65630835
2020-054988,ASSAULT OFFENSES,Simple Assault,DOWNTOWN COMMERCIAL,-122.3393363,47.60773163
2020-055440,ASSAULT OFFENSES,Intimidation,SLU/CASCADE,-122.3457412,47.61702321
2020-055513,ASSAULT OFFENSES,Simple Assault,DOWNTOWN COMMERCIAL,-122.3314085,47.60276918
2020-055518,ASSAULT OFFENSES,Intimidation,GREENWOOD,-122.3460303,47.70433103
2020-055528,ASSAULT OFFENSES,Aggravated Assault,NEW HOLLY,-122.2818729,47.53478968
2020-055548,ASSAULT OFFENSES,Simple Assault,DOWNTOWN COMMERCIAL,-122.3368905,47.61044025
2020-055593,ASSAULT OFFENSES,Intimidation,BRIGHTON/DUNLAP,-122.278711,47.53705434
2020-055633,ASSAULT OFFENSES,Simple Assault,NORTH ADMIRAL,-122.3867366,47.57631007
2020-055775,ASSAULT OFFENSES,Intimidation,CHINATOWN/INTERNATIONAL DISTRICT,-122.3270212,47.59751594
2020-055796,ASSAULT OFFENSES,Simple Assault,MOUNT BAKER,-122.2985687,47.58632096
2020-055823,ASSAULT OFFENSES,Intimidation,HIGH POINT,-122.3688503,47.54675917
2020-055848,ASSAULT OFFENSES,Simple Assault,NORTHGATE,-122.3407988,47.69416441
2020-055922,ASSAULT OFFENSES,Simple Assault,FIRST HILL,-122.3273595,47.61343735
2020-056101,ASSAULT OFFENSES,Simple Assault,DOWNTOWN COMMERCIAL,-122.3319954,47.60844357
2020-056115,ASSAULT OFFENSES,Simple Assault,DOWNTOWN COMMERCIAL,-122.3310822,47.60241242
2020-056161,ASSAULT OFFENSES,Intimidation,QUEEN ANNE,0,0
2020-056161,ASSAULT OFFENSES,Simple Assault,QUEEN ANNE,0,0
2020-056186,ASSAULT OFFENSES,Intimidation,SODO,-122.3290546,47.58293525
2020-056226,ASSAULT OFFENSES,Simple Assault,FIRST HILL,-122.3207558,47.60865749
2020-056236,ASSAULT OFFENSES,Simple Assault,DOWNTOWN COMMERCIAL,-122.3378706,47.60647838
2020-056351,ASSAULT OFFENSES,Aggravated Assault,NORTH DELRIDGE,-122.3654593,47.56472544
2020-056382,ASSAULT OFFENSES,Intimidation,QUEEN ANNE,-122.3567246,47.62269258
2020-056383,ASSAULT OFFENSES,Simple Assault,FIRST HILL,-122.3234439,47.60412808
2020-056403,ASSAULT OFFENSES,Simple Assault,RAINIER VIEW,-122.2494674,47.51249628
2020-056413,ASSAULT OFFENSES,Simple Assault,CENTRAL AREA/SQUIRE PARK,-122.3121271,47.61291008
2020-056443,ASSAULT OFFENSES,Intimidation,FIRST HILL,-122.3273595,47.61343735
2020-056449,ASSAULT OFFENSES,Aggravated Assault,LAKECITY,-122.2923421,47.73102844
2020-056506,ASSAULT OFFENSES,Simple Assault,SANDPOINT,-122.2635503,47.6761971
2020-056554,ASSAULT OFFENSES,Simple Assault,WALLINGFORD,-122.347315,47.66465277
2020-056583,ASSAULT OFFENSES,Simple Assault,BITTERLAKE,-122.3509253,47.72958904
2020-056607,ASSAULT OFFENSES,Simple Assault,LAKECITY,-122.2946969,47.72018507
2020-056612,ASSAULT OFFENSES,Simple Assault,BRIGHTON/DUNLAP,-122.2760286,47.53889709
2020-056659,ASSAULT OFFENSES,Intimidation,QUEEN ANNE,-122.3528348,47.61917537
2020-056720,ASSAULT OFFENSES,Simple Assault,NORTH ADMIRAL,-122.3867366,47.57631007
2020-056760,ASSAULT OFFENSES,Simple Assault,SLU/CASCADE,-122.335817,47.62578475
2020-056787,ASSAULT OFFENSES,Aggravated Assault,FREMONT,-122.3424569,47.65502267
2020-056858,ASSAULT OFFENSES,Aggravated Assault,CAPITOL HILL,0,0
2020-056870,ASSAULT OFFENSES,Simple Assault,BELLTOWN,-122.3426125,47.61106822
2020-056939,ASSAULT OFFENSES,Aggravated Assault,BELLTOWN,-122.3501864,47.6161341
2020-057014,ASSAULT OFFENSES,Aggravated Assault,NORTHGATE,-122.3289498,47.72082733
2020-057079,ASSAULT OFFENSES,Simple Assault,QUEEN ANNE,-122.3534381,47.62544496
2020-057145,ASSAULT OFFENSES,Simple Assault,ROOSEVELT/RAVENNA,-122.2972223,47.66124046
2020-057195,ASSAULT OFFENSES,Intimidation,SOUTH PARK,-122.3203069,47.52507766
2020-057366,ASSAULT OFFENSES,Simple Assault,MORGAN,-122.3816623,47.55137484
2020-057387,ASSAULT OFFENSES,Aggravated Assault,CAPITOL HILL,-122.3209062,47.62198807
2020-057492,ASSAULT OFFENSES,Simple Assault,BALLARD SOUTH,-122.3826663,47.66595739
2020-057568,ASSAULT OFFENSES,Intimidation,MONTLAKE/PORTAGE BAY,-122.3200576,47.6422748
2020-057575,ASSAULT OFFENSES,Simple Assault,CAPITOL HILL,-122.3207714,47.61351951
2020-057609,ASSAULT OFFENSES,Simple Assault,ROXHILL/WESTWOOD/ARBOR HEIGHTS,-122.3658942,47.52102178
2020-057681,ASSAULT OFFENSES,Simple Assault,DOWNTOWN COMMERCIAL,-122.3325194,47.6023056
2020-057826,ASSAULT OFFENSES,Intimidation,DOWNTOWN COMMERCIAL,-122.3338081,47.61210339
2020-057843,ASSAULT OFFENSES,Intimidation,BALLARD SOUTH,-122.3788942,47.66238965
2020-057898,ASSAULT OFFENSES,Simple Assault,SODO,-122.3290546,47.58293525
2020-057911,ASSAULT OFFENSES,Aggravated Assault,SLU/CASCADE,-122.3340067,47.6159486
2020-058090,ASSAULT OFFENSES,Intimidation,FIRST HILL,-122.3295705,47.61250404
2020-058175,ASSAULT OFFENSES,Aggravated Assault,NORTH BEACON HILL,-122.3001668,47.58099444
2020-058191,ASSAULT OFFENSES,Intimidation,ROOSEVELT/RAVENNA,-122.3187393,47.67656665
2020-058198,ASSAULT OFFENSES,Simple Assault,MILLER PARK,-122.308653,47.6260497
2020-058246,ASSAULT OFFENSES,Intimidation,CAPITOL HILL,-122.324665,47.62198776
2020-058252,ASSAULT OFFENSES,Simple Assault,JUDKINS PARK/NORTH BEACON HILL,-122.3054776,47.59925977
2020-058263,ASSAULT OFFENSES,Simple Assault,BALLARD NORTH,-122.4018024,47.68924173
2020-058263,ASSAULT OFFENSES,Intimidation,BALLARD NORTH,-122.4018024,47.68924173
2020-058270,ASSAULT OFFENSES,Aggravated Assault,FIRST HILL,-122.3181018,47.60310245
2020-058473,ASSAULT OFFENSES,Aggravated Assault,BRIGHTON/DUNLAP,-122.2699869,47.53314344
2020-058539,ASSAULT OFFENSES,Intimidation,FIRST HILL,-122.3174422,47.60351535
2020-058544,ASSAULT OFFENSES,Aggravated Assault,CHINATOWN/INTERNATIONAL DISTRICT,-122.3172228,47.59918907
2020-058553,ASSAULT OFFENSES,Intimidation,RAINIER VIEW,-122.2783525,47.51045292
2020-058556,ASSAULT OFFENSES,Intimidation,ROOSEVELT/RAVENNA,-122.2989975,47.67577587
2020-058578,ASSAULT OFFENSES,Simple Assault,FIRST HILL,-122.3263468,47.60981959
2020-058581,ASSAULT OFFENSES,Simple Assault,FIRST HILL,-122.3243551,47.61015926
2020-058620,ASSAULT OFFENSES,Aggravated Assault,NORTHGATE,-122.3339376,47.70548994
2020-058700,ASSAULT OFFENSES,Intimidation,CHINATOWN/INTERNATIONAL DISTRICT,-122.3240791,47.59835025
2020-058719,ASSAULT OFFENSES,Simple Assault,FREMONT,-122.3485416,47.6572022
2020-058750,ASSAULT OFFENSES,Simple Assault,FIRST HILL,-122.3203473,47.6035207
2020-058775,ASSAULT OFFENSES,Simple Assault,JUDKINS PARK/NORTH BEACON HILL,-122.3083151,47.59924291
2020-058794,ASSAULT OFFENSES,Aggravated Assault,BRIGHTON/DUNLAP,-122.2699873,47.52933067
2020-058819,ASSAULT OFFENSES,Aggravated Assault,BELLTOWN,-122.3452133,47.61260646
2020-058886,ASSAULT OFFENSES,Intimidation,MOUNT BAKER,-122.2910103,47.57075994
2020-058953,ASSAULT OFFENSES,Intimidation,CAPITOL HILL,0,0
2020-059010,ASSAULT OFFENSES,Simple Assault,MAGNOLIA,-122.3887142,47.65704527
2020-059138,ASSAULT OFFENSES,Aggravated Assault,MAGNOLIA,-122.4109543,47.66488592
2020-059158,ASSAULT OFFENSES,Intimidation,CAPITOL HILL,-122.3213303,47.6251172
2020-059208,ASSAULT OFFENSES,Intimidation,SOUTH BEACON HILL,-122.2937511,47.53891249
2020-059301,ASSAULT OFFENSES,Simple Assault,LAKECITY,-122.2984463,47.71929615
2020-059306,ASSAULT OFFENSES,Intimidation,FIRST HILL,-122.3247789,47.61146198
