Report Number,Offense Parent Group,Offense,MCPP,Longitude,Latitude
2020-002444,ASSAULT OFFENSES,Intimidation,CAPITOL HILL,-122.3278773,47.62370637
2020-002448,ASSAULT OFFENSES,Aggravated Assault,CAPITOL HILL,-122.3207558,47.60865749
2020-002458,ASSAULT OFFENSES,Simple Assault,SOUTH DELRIDGE,-122.3564596,47.52194987
2020-002495,ASSAULT OFFENSES,Intimidation,DOWNTOWN COMMERCIAL,-122.3310822,47.60241242
2020-002504,ASSAULT OFFENSES,Aggravated Assault,BRIGHTON/DUNLAP,-122.2753125,47.53209247
2020-002585,ASSAULT OFFENSES,Simple Assault,SODO,0,0
2020-002597,ASSAULT OFFENSES,Intimidation,BALLARD SOUTH,-122.3661845,47.66182709
2020-002692,ASSAULT OFFENSES,Simple Assault,SLU/CASCADE,-122.3337941,47.61522435
2020-002710,ASSAULT OFFENSES,Simple Assault,SODO,-122.3267459,47.58049467
2020-002932,ASSAULT OFFENSES,Intimidation,DOWNTOWN COMMERCIAL,-122.3310822,47.60241242
2020-002952,ASSAULT OFFENSES,Simple Assault,NORTHGATE,-122.3260141,47.7108808
2020-003015,ASSAULT OFFENSES,Simple Assault,ROOSEVELT/RAVENNA,-122.2976329,47.66711713
2020-003020,ASSAULT OFFENSES,Aggravated Assault,CAPITOL HILL,-122.3230816,47.62046445
2020-003081,ASSAULT OFFENSES,Simple Assault,DOWNTOWN COMMERCIAL,-122.3383483,47.60951744
2020-003081,ASSAULT OFFENSES,Intimidation,DOWNTOWN COMMERCIAL,-122.3383483,47.60951744
2020-003280,ASSAULT OFFENSES,Aggravated Assault,PIONEER SQUARE,-122.3341849,47.60004423
2020-003304,ASSAULT OFFENSES,Simple Assault,RAINIER VIEW,-122.2630717,47.50896075
2020-003316,ASSAULT OFFENSES,Simple Assault,CENTRAL AREA/SQUIRE PARK,-122.3115478,47.60710905
2020-003385,ASSAULT OFFENSES,Aggravated Assault,LAKEWOOD/SEWARD PARK,-122.258073,47.55061696
2020-003390,ASSAULT OFFENSES,Simple Assault,CHINATOWN/INTERNATIONAL DISTRICT,-122.3289663,47.59961646
2020-003397,ASSAULT OFFENSES,Intimidation,CAPITOL HILL,-122.3227727,47.61522861
2020-003409,ASSAULT OFFENSES,Simple Assault,FIRST HILL,-122.3174422,47.60351535
2020-003419,ASSAULT OFFENSES,Simple Assault,CHINATOWN/INTERNATIONAL DISTRICT,-122.3270173,47.59835485
2020-003456,ASSAULT OFFENSES,Simple Assault,PIONEER SQUARE,-122.3348257,47.60004523
2020-003517,ASSAULT OFFENSES,Simple Assault,SLU/CASCADE,-122.3310702,47.62196996
2020-003545,ASSAULT OFFENSES,Intimidation,UNIVERSITY,-122.3131157,47.66218058
2020-003748,ASSAULT OFFENSES,Simple Assault,CENTRAL AREA/SQUIRE PARK,-122.3094969,47.61586255
2020-003819,ASSAULT OFFENSES,Simple Assault,NORTHGATE,0,0
2020-003964,ASSAULT OFFENSES,Intimidation,CAPITOL HILL,-122.3155393,47.61469288
2020-003967,ASSAULT OFFENSES,Simple Assault,ROOSEVELT/RAVENNA,-122.3174641,47.68189427
2020-003988,ASSAULT OFFENSES,Intimidation,BRIGHTON/DUNLAP,-122.2699856,47.53380086
2020-003995,ASSAULT OFFENSES,Intimidation,SLU/CASCADE,-122.3385235,47.61334267
2020-004106,ASSAULT OFFENSES,Aggravated Assault,CAPITOL HILL,-122.3219986,47.62370175
2020-004148,ASSAULT OFFENSES,Intimidation,BRIGHTON/DUNLAP,-122.2708344,47.53935539
2020-004156,ASSAULT OFFENSES,Intimidation,BELLTOWN,-122.3492524,47.61558159
2020-004185,ASSAULT OFFENSES,Simple Assault,SODO,-122.3290623,47.58617012
2020-004204,ASSAULT OFFENSES,Simple Assault,CAPITOL HILL,-122.3221964,47.61931579
2020-004302,ASSAULT OFFENSES,Simple Assault,SOUTH DELRIDGE,-122.3540178,47.51827332
2020-004421,ASSAULT OFFENSES,Intimidation,NORTHGATE,-122.3339376,47.70548994
2020-004445,ASSAULT OFFENSES,Simple Assault,LAKECITY,-122.2951424,47.73013966
2020-004447,ASSAULT OFFENSES,Intimidation,LAKECITY,-122.2924936,47.72100749
2020-004546,ASSAULT OFFENSES,Intimidation,CAPITOL HILL,-122.3268036,47.6167093
2020-004565,ASSAULT OFFENSES,Simple Assault,BITTERLAKE,0,0
2020-004602,ASSAULT OFFENSES,Simple Assault,WALLINGFORD,-122.3362943,47.66138567
2020-004618,ASSAULT OFFENSES,Simple Assault,UNIVERSITY,-122.3131157,47.66218058
2020-004661,ASSAULT OFFENSES,Simple Assault,MADRONA/LESCHI,-122.29269,47.59621162
2020-004765,ASSAULT OFFENSES,Simple Assault,QUEEN ANNE,0,0
2020-004770,ASSAULT OFFENSES,Intimidation,UNIVERSITY,-122.3126004,47.6597883
2020-004908,ASSAULT OFFENSES,Simple Assault,QUEEN ANNE,-122.3629147,47.65238986
2020-004996,ASSAULT OFFENSES,Simple Assault,CAPITOL HILL,-122.3187939,47.6140898
2020-005020,ASSAULT OFFENSES,Aggravated Assault,SANDPOINT,-122.2636469,47.68074482
2020-005027,ASSAULT OFFENSES,Simple Assault,QUEEN ANNE,-122.3397351,47.62539318
2020-005045,ASSAULT OFFENSES,Aggravated Assault,BRIGHTON/DUNLAP,-122.2784888,47.53218612
2020-005050,ASSAULT OFFENSES,Aggravated Assault,MOUNT BAKER,-122.2899378,47.57067497
2020-005055,ASSAULT OFFENSES,Simple Assault,SLU/CASCADE,-122.3466378,47.61696696
2020-005060,ASSAULT OFFENSES,Aggravated Assault,QUEEN ANNE,-122.3446734,47.64157905
2020-005097,ASSAULT OFFENSES,Aggravated Assault,DOWNTOWN COMMERCIAL,-122.340136,47.60602417
2020-005104,ASSAULT OFFENSES,Intimidation,ROOSEVELT/RAVENNA,-122.3098422,47.67851664
2020-005113,ASSAULT OFFENSES,Simple Assault,COLUMBIA CITY,-122.2875865,47.55344408
2020-005158,ASSAULT OFFENSES,Aggravated Assault,FIRST HILL,-122.3279159,47.60817662
2020-005208,ASSAULT OFFENSES,Simple Assault,SOUTH PARK,-122.3149607,47.52346714
2020-005305,ASSAULT OFFENSES,Intimidation,ROOSEVELT/RAVENNA,-122.3257398,47.68005857
2020-005325,ASSAULT OFFENSES,Simple Assault,NORTHGATE,-122.3447187,47.70654592
2020-005347,ASSAULT OFFENSES,Simple Assault,SLU/CASCADE,-122.3350861,47.61600093
2020-005374,ASSAULT OFFENSES,Intimidation,GREENWOOD,0,0
2020-005399,ASSAULT OFFENSES,Simple Assault,DOWNTOWN COMMERCIAL,-122.3309521,47.60394844
2020-005403,ASSAULT OFFENSES,Simple Assault,BALLARD NORTH,-122.3826852,47.67995399
2020-005440,ASSAULT OFFENSES,Intimidation,WALLINGFORD,-122.3309771,47.65106364
2020-005457,ASSAULT OFFENSES,Simple Assault,QUEEN ANNE,-122.3528255,47.62034258
2020-005492,ASSAULT OFFENSES,Intimidation,LAKECITY,-122.2923421,47.73102844
2020-005519,ASSAULT OFFENSES,Intimidation,BELLTOWN,-122.3450035,47.6136555
2020-005573,ASSAULT OFFENSES,Simple Assault,CHINATOWN/INTERNATIONAL DISTRICT,-122.3276729,47.5979363
2020-005642,ASSAULT OFFENSES,Simple Assault,NORTH DELRIDGE,-122.3629072,47.55837155
2020-005669,ASSAULT OFFENSES,Intimidation,GREENWOOD,-122.3458561,47.6854948
2020-005928,ASSAULT OFFENSES,Aggravated Assault,HIGHLAND PARK,-122.3492793,47.52374524
2020-005947,ASSAULT OFFENSES,Simple Assault,BRIGHTON/DUNLAP,-122.2699873,47.52933067
2020-005985,ASSAULT OFFENSES,Aggravated Assault,NORTH BEACON HILL,-122.3016555,47.58203359
2020-006066,ASSAULT OFFENSES,Simple Assault,SOUTH PARK,-122.3269069,47.52562736
2020-006133,ASSAULT OFFENSES,Aggravated Assault,BRIGHTON/DUNLAP,-122.2699889,47.5344786
2020-006186,ASSAULT OFFENSES,Simple Assault,JUDKINS PARK/NORTH BEACON HILL,-122.3102809,47.59664771
2020-006294,ASSAULT OFFENSES,Simple Assault,BELLTOWN,-122.343703,47.61288656
2020-006306,ASSAULT OFFENSES,Aggravated Assault,EASTLAKE - WEST,-122.3254008,47.63536953
2020-006344,ASSAULT OFFENSES,Simple Assault,DOWNTOWN COMMERCIAL,-122.3373388,47.60925299
2020-006358,ASSAULT OFFENSES,Simple Assault,MID BEACON HILL,-122.3161436,47.55270692
2020-006381,ASSAULT OFFENSES,Simple Assault,NORTHGATE,-122.3445607,47.6938234
2020-006446,ASSAULT OFFENSES,Aggravated Assault,MONTLAKE/PORTAGE BAY,-122.3220945,47.65051917
2020-006452,ASSAULT OFFENSES,Simple Assault,GREENWOOD,-122.345966,47.69871766
2020-006535,ASSAULT OFFENSES,Simple Assault,NORTHGATE,-122.3407988,47.69416441
2020-006549,ASSAULT OFFENSES,Intimidation,BALLARD NORTH,-122.3768028,47.68966673
2020-006564,ASSAULT OFFENSES,Intimidation,ALASKA JUNCTION,-122.386804,47.56021562
2020-006572,ASSAULT OFFENSES,Simple Assault,CENTRAL AREA/SQUIRE PARK,-122.3050416,47.60309155
2020-006577,ASSAULT OFFENSES,Intimidation,DOWNTOWN COMMERCIAL,-122.3355803,47.60229737
2020-006624,ASSAULT OFFENSES,Intimidation,GREENWOOD,-122.3567455,47.70056125
2020-006625,ASSAULT OFFENSES,Intimidation,MORGAN,-122.3872746,47.53940613
2020-006655,ASSAULT OFFENSES,Intimidation,ROOSEVELT/RAVENNA,-122.2902439,47.67306613
2020-006722,ASSAULT OFFENSES,Aggravated Assault,FREMONT,-122.3460923,47.64904097
2020-006781,ASSAULT OFFENSES,Simple Assault,SODO,-122.334196,47.58927038
2020-006792,ASSAULT OFFENSES,Simple Assault,DOWNTOWN COMMERCIAL,-122.3393581,47.60978174
2020-006793,ASSAULT OFFENSES,Simple Assault,HIGHLAND PARK,-122.3540353,47.51735387
2020-006912,ASSAULT OFFENSES,Intimidation,GREENWOOD,-122.3568118,47.70436782
2020-006927,ASSAULT OFFENSES,Simple Assault,MORGAN,-122.3872062,47.54567982
2020-006930,ASSAULT OFFENSES,Aggravated Assault,DOWNTOWN COMMERCIAL,-122.3359285,47.61190423
2020-006979,ASSAULT OFFENSES,Aggravated Assault,DOWNTOWN COMMERCIAL,-122.3299714,47.6028763
2020-006985,ASSAULT OFFENSES,Aggravated Assault,FIRST HILL,-122.3270688,47.60557243
2020-006990,ASSAULT OFFENSES,Aggravated Assault,DOWNTOWN COMMERCIAL,-122.3306248,47.60359055
2020-007051,ASSAULT OFFENSES,Intimidation,BITTERLAKE,-122.3479331,47.72503884
2020-007055,ASSAULT OFFENSES,Simple Assault,DOWNTOWN COMMERCIAL,-122.3330981,47.60965503
2020-007090,ASSAULT OFFENSES,Simple Assault,HIGH POINT,-122.3630317,47.54838389
2020-007113,ASSAULT OFFENSES,Simple Assault,HIGHLAND PARK,-122.3604553,47.52918117
2020-007144,ASSAULT OFFENSES,Intimidation,DOWNTOWN COMMERCIAL,-122.3310822,47.60241242
2020-007213,ASSAULT OFFENSES,Aggravated Assault,CAPITOL HILL,-122.3139102,47.61995898
2020-007321,ASSAULT OFFENSES,Simple Assault,SOUTH DELRIDGE,-122.359148,47.52233507
2020-007374,ASSAULT OFFENSES,Simple Assault,SLU/CASCADE,-122.3366066,47.61748617
2020-007467,ASSAULT OFFENSES,Intimidation,SODO,-122.334196,47.58927038
2020-007576,ASSAULT OFFENSES,Simple Assault,MAGNOLIA,-122.4065007,47.65921111
2020-007786,ASSAULT OFFENSES,Simple Assault,SODO,-122.3378062,47.58950423
2020-007875,ASSAULT OFFENSES,Simple Assault,PIONEER SQUARE,-122.3341815,47.60088319
2020-007889,ASSAULT OFFENSES,Simple Assault,BELLTOWN,-122.3463082,47.61442097
2020-007927,ASSAULT OFFENSES,Simple Assault,CAPITOL HILL,-122.3244959,47.61704694
2020-007962,ASSAULT OFFENSES,Simple Assault,FIRST HILL,-122.3207431,47.60389602
2020-008062,ASSAULT OFFENSES,Intimidation,BALLARD NORTH,-122.3754517,47.69334117
2020-008126,ASSAULT OFFENSES,Simple Assault,CAPITOL HILL,-122.3199384,47.62108256
2020-008256,ASSAULT OFFENSES,Simple Assault,CHINATOWN/INTERNATIONAL DISTRICT,-122.3289663,47.59961646
2020-008275,ASSAULT OFFENSES,Intimidation,UNIVERSITY,-122.3132266,47.65757453
2020-008283,ASSAULT OFFENSES,Intimidation,DOWNTOWN COMMERCIAL,-122.3373388,47.60925299
2020-008294,ASSAULT OFFENSES,Intimidation,BITTERLAKE,-122.3542008,47.71506268
2020-008318,ASSAULT OFFENSES,Aggravated Assault,MORGAN,-122.3816201,47.55292836
2020-008352,ASSAULT OFFENSES,Simple Assault,QUEEN ANNE,-122.3761541,47.63965592
2020-008379,ASSAULT OFFENSES,Simple Assault,BELLTOWN,-122.3447935,47.61470458
2020-008431,ASSAULT OFFENSES,Aggravated Assault,SOUTH BEACON HILL,-122.2937511,47.53891249
